text,category
eee mammunnikk 10 million onnum ethikkaanulla traniyilla,Negative
Dislike adicha thayolikal etha vaaaa...ithu polorennam kandittu dislike adikkan thonniyallo,Negative
aaraadaa dis like adichathe hae .da da da,Negative
Dislike adikkunnavar trailer kaanathe dislike adikkan mathram vannavar..,Negative
Dislike adikan vendi mathram trailer kanunna kure vanangalu,Negative
Kuru pottikkan aarum varanda...ith vere level aan makkale,Negative
feels more like a tamil telugu masalappadam.. pokkiriraja comedy aayirunnu highlight.. ithil athum illennu thonunnu... trailer nirashapeduthi...,Negative
Myr guhan nnthuva  ee kattunnath,Negative
Ikka haters onn ood kandam vazhy....,Negative
Dislike adicha mamookante  fanse odu myrukale,Negative
Yethanu trailer trendigil varaathath vaishaketta nigal kaanunille,Negative
Dislike adichu de grade cheyyamennathu mohamalla setanmare..vyamoham,Negative
Trailer iragunnathinu mumba dislike adikkunnavarkk Naduviral namskkaram,Negative
ithil dislike adichavarkkellam ente naduviral namaskkaram,Negative
Unda  alla Unda Pori...unda boxofficil pattakam pole pottanja mathi,Negative
Ethine dislike adicha nainte makkal eatgaaa,Negative
lalettan sound ......................:) :) koothara style tone..,Negative
Mammunniyepole oliporallithu Eathu yudham vannalum munpilundavum laettan ....dialogue delivery pirannu...ee parayunna neeyokke pedukkum padam irangiyal,Negative
Enthaayalum haters nu rosham theerkkan oru dislike button indayath nannayi..keedangal,Negative
Pazassiraja  ennu parannu  chilakunnavar  orkuka athu flop nnu,Negative
Odiyan pottum .. Nayika maju anu.. Laletta vere aram kittiyille,Negative
Lal fans kurachu kashttapedu unlike adichuuu,Negative
16 nilayil pottum.. serial pole undu trailer.. valla kizhangum parilkkaan poda kovala ...,Negative
LALETTAN  UYIR  BAKKI ELLAM VERUM  MAYIR    LALETTAN,Negative
Ingere guhanennokke vilikkunnavarodu onne parayaanullo ingerude ee agil ningal onnukil bedil kaalaneyum kaathu allenkil photo aayi chuvaril,Negative
16k dislike adicha ma.. Mahaanmaarude shirasu pilarnnu andharikane.. Bagavaane,Negative
Mammootty nalla cinemakal vittu pinnem mass floppukalilekku pokanallo! Mayiru....,Negative
Ithokke kandit engane dislike adikan thonnunadeeyy,Negative
ijjathi moonjiya makeup ikka... shokam aaki kalanju,Negative
Mammooty fans,Negative
Veendum slow motion kanichu alukale vadiyakkan ethittundu,Negative
Hahaha...Siricchu satthu....Sugar koodi Poyi mone... Pakka Flop....,Negative
nirthathan samayamaii mammmokkka  prayam kurey ayyi,Negative
Sathyam paranja alamb trailer ayind......,Negative
ente ponno trailer kanditt padam oru 5 manikoor ulla poole,Negative
Sudappikal kuttathode vannu thalli thalli thurimezhugunundallloooo,Negative
Onte oru ikkayum kunjikayum muttamurianss of the country,Negative
Degrade cheyyunna narikale ningalku asuya Undo ulladukondavum dislike Pedichoo kurippeleee,Negative
Dislike adikkan vanna aattan paansinu naduviral,Negative
Njaan mammoka faan aayi... laletta aaa pazhashirajayum chathiyan chanduvum oke onnu poyi kaanu...,Negative
Dislike count kootan budhimuttuna chila aalukal,Negative
Ithu award padam aano full slow aanallo,Negative
Sheenam trailer.ee keleavan ed nirthaana aayille,Negative
DISLIKE ADICHAVARK  IRIKKATTEE  ORU  KUTHIRA PAVAN......*ejjathi ooolatharam,Negative
Thrissur baasha athra pora ennu trailer Kanda ppl enikku thonni ningalko?,Negative
Mohanlal n ee veruppikal  nirtikuude... Enth kaaanichalum   stuthi  paadan kure koonathile  pans.....,Negative
Ithinte munpil raja veezum. Release date maattikko raja,Negative
Mass pora..lag anu alo... trailer um padavum...be careful,Negative
Guest role aanu ..athinu eni valiya thallu venda....,Negative
Gopisunder pulimurukan eduthappozulla music padangal onnum marnnittia...engu rajayil eathinilkumbazum..elllam oruikalkudui avatharippikunnondu,Negative
Thallu vidunna moopanu pakaram appan  Daddy girija  Peter hein fight ( parannadi) Pulikk pakaram patti  Pinne mainayum same costume (Anushree)  .,Negative
Raju ettan kurve  nallonm thonnunde,Negative
Oru njettalum illa romanjavum illa ayye,Negative
Nairmare vendannu paranja Kallamark kanich koduk ...Nairmarude karuth...lalettan and prithivi...tholpikkanam ee electinu....,Negative
Dislike adikkunnna 12 k kundanmare poyi ooombikkolu adhey nadkkuuu nanamkettttav hijadagal,Negative
Lucifer kanduu..... Thatikootuu padam....no story aake ulath kore vedivepum bombidilum..... Kashtmm thane.....,Negative
aaa dislike adicha poorimakkalude ammakku mohanlal anu adichu kodukkunnadu tonnunnu,Negative
Trailer pora..Oru pathu kollam mumbulla tamil cinemade trailer polund,Negative
Ipo allarkkum manasilayille lalunni charitra padam cheytal ingane undakum enn this is odiyan 2,Negative
Pooran mamooty,Negative
Adutha flop,Negative
Ithupole mooonchiya Oru padam jeevithathil kanditillaaa.....,Negative
Trailer kannunathinu munne dislike adicha mahanmark adaranjalikal....ivrk matram engana pattunoo ijathi kuru pottikal....kashtam...,Negative
Myru Padam. Kaanendaayirunnu. Ookkaanam vannittu vayya.,Negative
copy annan,Negative
Pandi rajaye malarthi adichu athanu lal magic,Negative
Dislike adicha oombanmaarude shraddhakku....  Kittiya collectionum kondu oodikko  Chekuthan ninte ettane eduthittu oookkunnund  Adyam avante kunna vayileduthu ethane rakshikk,Negative
369 dislike myrol ikka uyir haters myr,Negative
Ee dislike adichavarde sredhayk enna kanditta enth mosam kanditta dislike adichathenn koode parayamo?,Negative
Deslike adicha ella punnara makkalkum nanni,Negative
Poli padam njn ella mammooty movies kanarundu itrekku disapointed akkiya oru movie aduthundayittilla,Negative
Aah nalla best marakkar...sound kettal thanne ariyam...ithu adutha neeraliyo odiyano aavanulla laksham aanu...daivame ee pulli ithu enthinulla purapadu aanu...,Negative
Padam ettunila pottum ennu urappullavar like..,Negative
Ayyeeee....dialouge presentation ottum illa....evan enge nayakan ayi? Lalunni....evanano swayam complete actor ennu vilikanee.....myran,Negative
Aayea.... ithu oru unda aavolo.... boar ....,Negative
enth moonjiya padam oombiya kadha parachil avante konathile padam,Negative
theateril elaarkum moonjiya expression aannallo kandu kazhinju,Negative
eth 14k alavalathikal aanu dislike adichath,Negative
Jai marikkunnath kandappol othiri sangadamaayi,Negative
Kutam parayunavaru Maryadaku zha parayan ariyatha team anu,Negative
Pavam sanjeev pillaiku enthengilum credit kodukeda nayinte makkale,Negative
cia   bgm  tch   undalllo  copy  etttaa,Negative
Ethreyum nalla oru creativity ku dislike cheyunnavarodu oru load pucham,Negative
E mass trailer ne vecchanalo madura raja ye compare cheyyunadh...kashtam,Negative
charithram onnum parayanda mammunniyalle Ella malayalikalkkumariyam kuninjoru paniyum cheyyathillennu,Negative
Cinema Kandavar orikkalum cinema hit ennu parayathilla,Negative
Nthu dislikes an... Ninnekondekke dislike cheyyane pattu...,Negative
Filim kaannadhe trailer kandu diss like adikkan kureyannam vannolum kashtam thanne diss like adikkan mathram jeevikkunna guys hii,Negative
ethukandalariyam e padam padakkam pole pottum,Negative
Ente ponno ijjathi Raya kandam vazhi oodi eetahhh,Negative
Ayyeee Lucifer Oru political movie athine copy adichu madura raja Ee cinema director COPY SUNDAR  aano,Negative
adhyam 9 polinju 8 nilayil ini next ithum poliyum 9 nilayil,Negative
Dislike adicha thanthayilla thayolikal aaranaavo ..murugane theerkkum ennu paranju nadannavar aavum,Negative
Dislike adikaan vanna para naarikal pinne enthina ith verthee kaanunnath,Negative
33k kurugal kanunnylllle dislike duranthngal pyaavam lavanmarude pramughanu youtube views illathente sangadam aavum,Negative
Enna koora padama . Mamooty ullond kandirikam . Nalle boradiikkuna padam sthiram kadha,Negative
ithpole oru kidu trailerinu dislike adikkana myrroli mammoonni fansin naduviral namaskaaram(ella mamooty fansinem udheshichalla....chila choriyanmaare udheshich paranjatha),Negative
Ithu oru tamil/Telugu style padamaayi poyaallo dialogue and bgm oru gummillaa,Negative
Dileepine polullavare thangi nadakkunnavarude padam kanathirikkuka.. Preshakarkku pullinte vila polum evar nalkunnilla..,Negative
Vamban hope chaidu vannadellam potti polijatte olle,Negative
Trailer undakiyarithi valare mosham ann. Ith kanumbol enik oru feelum vannilla.,Negative
Ee thadiyanano nammale kunjali marakkar aayi abinayikkunnath ??? Prithviraj or Mammootty cheyyanda role aanu,Negative
Aye kuura trailer oola padam chali mohanlal*************,Negative
Ethonnum mohanlalnu cherilla,Negative
Dislike adicha Lalettan hatersnulla adi avate ningalude likes...  Trailer vere level... Murali Gopi Mass.. Like Prithviraj too..,Negative
Ithinekkal valiya romanjifickation trilor aaaayirunnu villan ...ennitto padam 8L pottii idum anginethanneyaavum ....laletta ingalu maaarikkoluuu pillleru kalikkette,Negative
24 k naarikkal eee cinema dislike ittu avanmaarku thallu kodukkuvan agraham ullavar like addi,Negative
Eeee paheyente sthaneth..Mohanlal annn 70am vayesill Eee padem cheythirinnenkill....edukam..pallikatilekh. Lal ettane..allenkil dehippikam..,Negative
Ullath parayallooo sidhiq ozhich bhaakki elllaaam chali actorors.... Enthaaavumooo enthoooo.... Comment nookiii... fayankaram ennu parayaan eee trailoril onnum illlaa...,Negative
Dislike adicha pannikale Theater il kanada,Negative
Muriyandikal pannikuutatam pole thurimezhukuvansllooscenes are rememmbering pulimurugan,Negative
6.7k dislikes adichaa ooolanmarellam angott maaarininnnu mongikko,Negative
Mammokayude unda varunnu an kaliyakiyavar kedo.....unda verum undayala thokkil vediunda yamanasilaya  mammookaye kaliyakunnavare,Negative
Ouru Lúcifer erangi athe polle thanne enni kore padomm erakuum myrreeee,Negative
ayyoo mohanlal sangiallleeeee... poyi chawada kalla cummi a,Negative
Naaanavum maanavum undoda ooolakale trailer verunathinte munb Thane degrade cheyaaan.,Negative
Apo athum potti .. aaaa pratheekshayum poyi,Negative
Katha manasilay Tv il varambam kanam,Negative
Ufffff..ejaadhiii..lalettann rdjile edjelum oruu svene e jenmam vheyaan patilaa..trailer kandd karayunundaabumm ettan and ettan fanss,Negative
Kavya film company perinu Oru gummilla...,Negative
Ithu dislike adicha pookavadi makkalodu onne parayan ullu,Negative
Dislike adich kali makkale.....  Athre ninneyekkekond pattu....,Negative
Vyshakinte pagill ettal egane ya views thonne kittuka valiya chanalil alle edendathu luciferne pole,Negative
Padam verum oru below average Lucifer like oombiya Padam aakum enn orappullavr c'man!!!!,Negative
Ithrem dislike adichavar malayalikal aagan vazhiyilla,Negative
Angane 70 vayassulla vridhan schoolil ethiyo?,Negative
tovinok  nadakkoola  eee pani   police pani  cherunnilla soundum dressing onnum,Negative
mmale naattil degradarsinu oru kaalathhum kammi undaakilla...athaan nammala naadinte main shaapam,Negative
Kuthiyirunn dislike adikkand,Negative
Kandu padik shree Kumar menone anugal film direct cheyunath,Negative
Ith polathe oombiya trailer njan kandittilla patti okki surajinte appante soubinte pooru,Negative
Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..,Negative
ethanoo trailer kandapalla enta ammoo bhodam poyi padam moonjiyaa,Negative
Trailer erangan 1 manikoorinu munpae  3k dislike...  Nth tholvikal aano ntho..  kanditu vilayiruthu suhurthukalae.,Negative
Enth potta trailer aanu... Chumma mass ennu paranjittu karyamilla.... Trailer verum waste. Cinema enkilum nannaya mathiyarunnu,Negative
Dislike cheytha ellaa poorimakkalkum naduviral namaskaram,Negative
Ei padamonnu erangikkottay athenu mumbay ningalu thallallay,Negative
Ingalk keralathil ivane allathe areyum kitteele abinayipikan kitteele,Negative
Unlike cheyyunnavark ennte  namaskaaaaaaram,Negative
Dis like adichaa ellavaarode ettanode vedaaa  murugaaa nee theernadaa,Negative
Eee trailer kanditt dislike adichavan mareyokke sammathikkanam..,Negative
Madhurarajakkum oru trailer undu,Negative
Verum olla padam 10 paiseke kollulla,Negative
Average trailer...tiyaan pole akandu iruna mathiyarno....too many dialogues..,Negative
dislike adicha premukhan markku nanni . asooya,Negative
Ee dislike addikunnvarode .....onnum paryaanilla.....naldukandal aghikarikaan padikk,Negative
Iyyalkke rest cheyyanulla time aayilla.. kanda oola padagalilellam abinayiche vila poi paavam..,Negative
Dislike adicha guhanolikalkk...,Negative
Asooya paadilla. Abrahaminte Santhathikale ivde kandillallo?  Thallu aanenkilum ithupolonnu ethikk. Ennit ivde vaa :,Negative
Evante illuminati theernilleyy deivangaleeyy sukumaran saruu kanandaa...thinnu kalayum nine..,Negative
Poraaaa.. Luciferne tholpikkan ulla mass onnum illaaa..,Negative
Yedaaa Mamooty mayirae....'Lucifer' Mass'u ninaku orukilum kittaadhu thendi..,Negative
Dislike tarunavanmarku enthe naduviral  namaskaram,Negative
E negative commentsitta  ella oolakalkum kadutha asooya matram...athinithuvare marunnu kandupidichittilla,Negative
Trailer Releasinu munne 6k dislike itta ella punnara malarukalkum nadu viral namaskaram.... Chettakale,Negative
unlike adicha ella oolakalum ivide thanne kaananam tta,Negative
Kure paavangal pedichu virachukond dislike adichondirikuva ullil bhayam und nallonam.. ettante varavine bhayakunnavarde ennam koodunu..,Negative
Nadaka dialogue pole undallo avasanam filmum nadakamakumo.,Negative
Dislikes adikan vendi mathram koree naarikal... Adiyeda adi... Ninneyokke thookki adikkaa tta,Negative
Dislike adikkan vendi Kure Peru keranindalla,Negative
Dislike adicha sundari sundaranmarude nallathinayi namuk prarthikam,Negative
Sohan seenulal ne kandathode mood poyi,Negative
Ith kandit engana dislike cheyyan thonnane? Sambhavam kidu aait undallo,Negative
24k dis like adichavar ithrayum mandanmaro,Negative
Maduraraja 4hrs 96likes & 9k comments....Lucifer 2hrs 189likes & 12k comments...ettanodum pillerodum muttan varrale...mohanlalwood,Negative
Thugs of hindhustan film aahn marakar enn paranj kanikkunnath,Negative
Sambhasham ..entho oru kuzhappam polae ...padam poliyum ennu enikku thonunnu,Negative
Koothara trailer telugu padam pole und,Negative
Ee chanelil aano ithra valiya oru cinimayude trailer idunnath  Nalla subscribers ulla chanellil ittal porarnno,Negative
Ith raja aaa kallykkan vanna eduth uduth kalayum,Negative
Engane aada uvve 32K dislikes okke vanne? nammude naatil athrem mandanmaar undo,Negative
Sudapikalkku kurupotti aa dislikes kanda . A Hollywood level work,Negative
7.7k dislikes. Athinu vendi enkilum vann trailer kandu views kootiyathil santhosham...,Negative
Chaanakahinalkathu  ulla potimaaankal.. Dislke yethra adichitu  kaaryamilla  yeriyunna Marathil  bhalamundu,Negative
Enthonedai id    padakkamo,Negative
Myru padam Cash poyii.... Eee kunnakk inganathe padam cheyyathe irunna pore....,Negative
Ithilum valiya verupikal padam swapnagalil mathram,Negative
Malayaala sinimayil Mammuttikkaan etharathilulla kadhalaathram nannaayi cherunnath,Negative
Kore thendikal unlike edand stop cheyyuka,Negative
Failure anu nalla mammokka movie kandu varashangal ayi....,Negative
Dislike adicha myrenmark vendi like adi,Negative
Jimittukal karanju chaakum athum tripple strongil,Negative
Enthu kanichalum njangade lalettante pakuthi varumo niyokke,Negative
ethinu okkae dislikes adicha chila prajanda kunju ghalodu enikku etrae parayan ullu odada pullae kandam vazhi. Uluppundo ninakku okkae.,Negative
Myru ennu relese ayit show polum nadathit ila  aalilanjit ikkane arkum vende,Negative
Trailer thanne lag annallo,Negative
Dislike kunnamare olupundel poi kettithugi chavda pannikale,Negative
28k dislike okke pullaadaa pull...,Negative
Varav kandit padam 8 nilayil pottunna thonnane,Negative
Dislike adikkunna kazhuthakalude mukhath adikkunnavar like,Negative
Mara paazhu mega mairananil ninnum ethil koodutal pratheeshikaruthu   1980 kalile rajanikanthinu padikkunnu verum chavaru mairan....,Negative
Poojappura laalunni fans dislike adichu kuru potichitund,Negative
Dislike adichaa ellaa makkalkum oru nadu viral salute ...... It's Lucifer daaa,Negative
4 Millon ayee makkale eattante pazhi paragavar thalayil mundittu trailor kandukanum,Negative
191 k likes 118 aayallo.. ithenthu marimayaam ...lalapikkal ude kali aano,Negative
YouTube logic 66k likes + 6.3k dislikes = 16k views.. myr,Negative
Onne poyeda mugath puttiyum adich oronne iragiyekum mega star,Negative
Sajeev pilla enna sadaranakarane aarum marakaruthu...chaverinte cinema cheyyumbol chaverayi poya oru manushyan.,Negative
Aiyee.. Trailer satyam paranjal Valya rasamonun illa and I'm a lal fan,Negative
Raaja lucifer oru day irangiyirunnel lucifer moonjiyene......,Negative
16 k..  mammooty fans thayolikal dislike pooranmar,Negative
Adicholu etra dislike veenelum kuru pottichittu oru kaariyavum illa,Negative
Trailer eranghunnathinu munne thanne rajaye pedicha lalettane paripikkanayitt kure fans,Negative
EDA naayikale face of indian cinema alla face of malayalam cinema enna parayada koppanmaare,Negative
Mammootty fieldoutaayi ennu rodhikkunna fans ee trailor kandittu vaayil viralitottirikkayaaanu,Negative
Anu sitharayude dialogue oru dheerha vanithayudethanu.. Athu parayendathu sangadapettalla,Negative
Ethakayo pundakal e myre eragiyal Lucifer trailer  kadathum enokke paraniju enitte enthayi obiyille latettane thopikan avilla mammu,Negative
Trailer bore aayi .. eni movie Kandu nokkam,Negative
Onnathinu pottikan padakam Alla nalla assalu bomb thanne,Negative
Eth kandit nere poi pulimurugante trailerum onn kandek 2 ilum enthelum vethyasom undo?,Negative
Edo thallu menone direction padikanonkil rajuvetante aduthu chenna enganeyanennu padipichu tharum ?,Negative
Dislike adikan vanna haters ithe ningak patiya area alla ninteyoke rayaye kandam vazhi oodicha trailer aaan @£ucifer#loading,Negative
Unlike adichavarkku naduviral namaskaram.  Support like,Negative
Ithokkey kandittaanu iparthey pillaru schoolilum collegilum adiyum pidiyum vazhakkum ondakunnadhu,Negative
ellum shamikkum sunny chechiye villichu veruthi apamanichu vittathu orikkalum shamikkilla film kandavark manasilavum mosham  dialogs,Negative
Ha.. Ha..  Ha...  Anghane adhum hudaaa huva,Negative
Adhikam show kaanikkanda odiyan oruma undallo alle,Negative
Singana suryaye vellan oru poo monum Ella,Negative
Dislike button adich kalikunaa tmzod pucham matram,Negative
Tharikida sabu pora oru kazhchakilla .,Negative
Dislike adikunna mammunikale,Negative
Oru Anya Basha  tharathekoodi role kodukkamayirunnu,Negative
Jacket..Cooling glass...Car...Slow motion...Pazhaya bomb katha tanne....Hahahaha ..Eyalku madukille ethonnum...,Negative
Lucifer lostfer aavandirunna mathiyayirunnu .kandittu adutha floapinulla sakalathum kaanunnundu,Negative
Eatho Kure eannangal dislike... Anganeyum Kure eannangal,Negative
ejjadhi oola padam immathiri oola padam jeevidhathil kandittilla my rating 0.5/5,Negative
Second vechu dislike ivane okke samathikkanam ..,Negative
Mangatholiii... Mattoru neerali avathirunaal mathi. Swam pongiyudae chandu pottu look kollaam..,Negative
yeah kollam surya tvil verunna serial polea und..,Negative
ithokke comedy pole und ...aa  bahubaliyude manam kalayo ?,Negative
Jimitt fans jimittinte theettam thinnaan nokk myrukale,Negative
Anusitharayude abinayam rassamilla kaanan yella fillmilum kanakkaan (my personal opinion),Negative
Trailer irangan 88 mins koode atinu munbe 2.5k dislike nth malaranmaranu,Negative
Surajettan sound modulation kurach koodi nannakamayirunnu,Negative
ithu ividam kondonnum nilkilla monei.hatersei ningaludei karyama kashtam.poyi valla aduppilengannun poyi irikk.aa choodang maarattei.enna julay 5th.kaanaam allalla kaananam.,Negative
Kodutha pani tirichu annakkil kittunnath kando,Negative
Nalla adipoli trailer Adutha Undayum 18am padiyum Peranpum Yathrayum pole flop urappanu,Negative
Onn madiyaaak mammookka Vayassan aayalle Pudiya pullark avasaram kodukk,Negative
Uluppillathavanmaaru script writer ude peru polum vechilla.,Negative
Ee sound aanu marakkarde enkil marakkare apamanikkan edukkunna padam aayirikkum. Dress codellam apamanikkunna tharathila,Negative
priya dharshante vijaram muslimsinte slag eppolum inganeyanna....endhu dialoga boru aanu dialogue shaili mattuga...,Negative
Irakikko pakshe Stephen achayan ullidatholam kaalam ivide oru rajanum adhikam vazhan ponilla,Negative
ee padathinu reach kuravanu.Trailerum pora.Pottum ennulla karyam guarantee.pinne fans vannu enne choriyan nikkenda.Sathyam ithaanu,Negative
22K   Dislike enthuttta pattiye ¥ SuPpER teaser,Negative
lalappan fansinte annakkil thooriya trailer 🤣🤣🤣🤣,Negative
Dhaivam  marikkugayo    endhuvaade,Negative
E trailernu dislike adikkunnavanmaarudae aa manassundalllo....oh.... Namikkaathae vayya,Negative
Guys unlike cheyyunavar Mr.Pandit fans aanue..deshyam pidichit karyamilla..,Negative
Ithu party based cast based movie anengil adi pidi vedi anengil Ee padam poliyum.,Negative
ithil premiere akunnathinu munbe dislike adich kalikana saddistukaleyoke enthaa cheyyaa.loka duranthangal hahaha,Negative
271 dislike ara adichethennu ivide ellarkkumariyaam,Negative
Ithu ikkayude script aanu..   Uttopiya,Negative
Ettan kootiya koodoola adurappa end diloga id chirichu chavum,Negative
Trailer kanda thanne Aliyan Ettunilayil pottumennu,Negative
Jimmittoli vaangale ninte ammede poottil chekuthan keri ookkunnu poy dislike adi,Negative
20k dislike adichavan okke ethu guhayil irikkuvano entho,Negative
Adutha vishunu aduthu vekkam .... Assal padakkam aavum,Negative
TvM massive thirichuvaravanalo,Negative
Dislike adichal Ella Shemalesnoodum 9noodum . 28nu theatre IL baaa pooram Kanam,Negative
Eethe tendikalada....  Dislike adikyan varunne.,Negative
Dislike adikaan orupaad lalappan fan vannittund paavangal hahahahah,Negative
Tamil and Telugu padam pole aayalo... Don't kill malayalam movies reality,Negative
Dislike adichvnmar oombi kuthi irikathe ulluh,Negative
740 kuru potti,Negative
Dislike adicha thaayolikale adikendavark like cheyyanulla comment,Negative
Enna padam ethillum high irakiya villian potti palisayi pinna ithe,Negative
Adutha oru vedimarunnu ready ayitundu...eppo pottikanam ennu paranja mathi....lalunni fans and pottan  fans undo evide?,Negative
Ee Padam odiyan Kandu niraasaeaya fansinte thallal aanennum Lalettante class movikalude ezhu ayalthu varilla ennum karurhunnavar like pls.,Negative
Dislike adicha colani membersin ente namaskaram. Feeling pucham,Negative
Ekka trailer ethanel padham teatre pooraparambakkumallo.evdem kanum disliken marr,Negative
Itha pattacharayam pidikan varunnu.. Avan Madhura raja.. pazheya Gund kadha thanne scene mariyapol inganoke ayi,Negative
Enthylm 300 koli thallum muzhuvn fans.......,Negative
shuger raja fance onnu virachu alle.ithokke endh varan pokunnathanu mone pooram,Negative
Arenkilum poi aa  srreeeekumaarane onnu vilich kaanich kodukkedoo  entha  etha  cinemannu  .....&&&&@@@,Negative
aaa dislike adikkunnavanmar verarumalla complete actorinte sperm,Negative
Aaruvaadee dislike adich ponath ithrakk kazhappoo,Negative
Paringgiyude munbhil thalakumbit nikkaan kunnjaalik patulla....appo aara muttu madakkiywth(rss) thannje...cherupp nakkikal...  Kaanada punnjara makkale...musalmaante chankoottam....,Negative
Yenthina aa manjvine ithilekku valichirakkiyathu aval undayathukondu padam kananulla aa thrill poyi,Negative
Ethil vann dislike adikkunna makalkku epo thane kuru potti thudangiyalo,Negative
Malappurathum kozhikkodumula jhangal eebashakett chirich mann kappi.. marakkarenna deerayodhavinte shabdam inganeyalla. Vendath.... ith mimikrikkar stegil avatharippikunna comedy paripadipoleyanallo.. ha...,Negative
407 dislike haaa oka mumuty fans ayerikyum kastam,Negative
Trailer kand kuru potti olich ippozhe degrading thodangi entha avastha ikka fans ichiri ulupp,Negative
dislike adicha verum 10k   m@.nmar  aarde fans aanenn parayandellooo,Negative
Haters dislike ... Paavo ithrakkum pediyaano oru padavam verunne... Kaishttam haters🤣,Negative
Dislike adichavanmar enth kandittanavo......ee trailer thanne aano aavo kandath....,Negative
Adipoli...... cinema ini kanenda karyamillla,Negative
Yadhaartha kadha,Negative
Nth prahasanam aan    Enik ee trailer ishta pettilaa,Negative
Aa 1.3K dislike adicha naarikal aaranne ivdareyem PARANJE padippikanda kaaryamillallo le?,Negative
Idi vettu sugunan illatathu valare moshamayi poyi...,Negative
Pokkiriraja verum trailer mathram.... Picture abhi be bakki he Bhai.... Ini rajayyde varavanu.... Orungi irunno....,Negative
Ithu enthaada serial aah? 🤭🤭🤭 pani nirthi podappa 🤣🤣🤣,Negative
Ethu pulimuruganaano  Ha ha ha .....,Negative
njan parayunnu eetavum valiya big flop aayirikkum,Negative
Copy cheythathu moshamayi poi chethatho cheythu korachu nannayi cheyyamayirunnu,Negative
Dis like engane thonni......adikan...... Adichavanmar  ooompikoooo Ikka ... Mass daaaaaaaaaaaaa....... Keralathinte muthue..........,Negative
Padam pottum Ram fans munji.. sudapi teams  kuru pottum,Negative
Visuals serial pidikunna camera polundu. Make up oke ittu ellarum,Negative
29 k Mammunni fans trailor Kandu....!,Negative
Vijay babuvinu pakaram vere actor aayrnnenkil perfect aayene,Negative
Tharikida sabu ah poorimone kondu varendayirunnu,Negative
Jayetta katta fan....pakse ithonum oodathila ..oodilelum nalla cinema ayirnel kuyapolarnu..entho trailer kandite aa feelum varunila...anyway goodkuck,Negative
sanni chechiye konddu vannelengilum mammuckayude eaa padam kanan  ellarum kerumennayirickum malayaliyude oru gethikede,Negative
Enthu kandita dislike adikune Mamooka fans. Mohanlal haters step back Lucifer is comeing,Negative
Ee avinja fansukare kond thottaallo dei padam kollamengil oodum allel pottum,Negative
Enthu oola trailer mammatty lokatholvi. Ithum kondano Lucifer aayittu muttan varunne. Comedy thanne.,Negative
Ee cinemayilum mammootikku pani kurache undaku dilog kure undakum..paniyokke piller edukkendivarum,Negative
Dis like cheida yella lalunni fansu polum trailorinu vendi katta waitingil aanallo,Negative
Padakkam loading. Ingerkku ithu pathivaanalle. Oru hit padam eduthaal pinne moonu naalu chavarukal edukkum. Eg: Drama,Negative
Dislike adichavark trailer ishtapedanjitto അതോ lalettaneyo. എതായാലും ninnodokke പുച്ഛം മാത്രം. Its ettans swag,Negative
Aa myran sohan seenu lal veendum mammookka yude koode koodiyallo padachone...,Negative
23 k  unlike   hehe   idum  kanji  tanne,Negative
Ooo mire. Njn vicharich teaser Poole uumbiyath aayirikkum nn. Id verre level kolakolli itemm..,Negative
Koora Trailer iyalkku ee pani nirthi pokkode,Negative
Muriyandi mammunniyude sudappi fansinaanu kuru vallathe pottunnath..,Negative
Idu ettu nilayil pottum....mommoty vannu thalli marikkum endammo chali,Negative
Ee shareeramulla manushyanevech ee padam cheydh kulamakarudh plees,Negative
Diss like adichavarodanu Ella nayinte makkalkkum naduviral namaskkaram,Negative
1.3 k dislikes. ഇജ്ജാതി കുരു before trailer release 🤣🤣🤣🤣,Negative
Lucifer thannee sheenam maarillaa aduthu kootheraaaaa thaaa,Negative
Ijjathi kuru trailer releaseinu mumbe ikka fans dislike adikan thudangiyo,Negative
ee vaga items okke kandu maduthade....oru maatavumilla.,Negative
Adutha kodaali padam looks like master piece 2.0,Negative
Ithinu apurath oru trailer illa,Negative
Fake liker pidichu ikka oombi,Negative
Durantham poojapura jimittolikal dislike aayi irangeetund..haha,Negative
Mammoonny .... Komali... Loka tholvi. Sammathikkunnavar Like Adikku,Negative
Mohanlalile ishtapetta vekthiyayirunnu njan pakshe superstar sarojkumar enna movie kandathinushesham enikkmanassilayi,Negative
hoo mammokka police vesham aaha anthas,Positive
Oru rekshayum illa...kidilam kannu nananjupoyi,Positive
Ikka     waiting.........,Positive
Raju Ettante Oro Shorttum Ijathi ppwli,Positive
Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #,Positive
Last aa chadi adi.... Uff.        Frm an ettan fan,Positive
heavy mass,Positive
Nte ponno oru raksha Illa Ennaaa Trailer,Positive
Mammookka fans like adi. Love u ikka,Positive
Oh mass o mass laletta katta waiting....Bgm,Positive
Ith powlichu vaariyitte pooku....,Positive
June 16 Keralakara ilakki marikkum ikka,Positive
Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa,Positive
vaada a otta vili athu mathi .athu maathram mathi,Positive
#mamangam uff ijjathi trailer oru rakshem illa poli,Positive
Nalla polippan school life kanam katta waiting for you Mammukka,Positive
INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer,Positive
